PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,1984,8.0,-76.875,275.15,366.25,192.68,311.13,525.02,304.63,283.69,293.41,247.19,604.44,544.04,179.03,4126.66
PRECTOTCORR_SUM,1984,8.5,-71.25,55.02,49.43,20.86,104.47,183.83,280.31,273.35,231.8,252.59,259.76,169.64,41.2,1922.26
PRECTOTCORR_SUM,1984,8.5,-71.875,48.01,34.23,12.79,79.14,95.25,157.19,157.72,112.73,131.37,194.13,144.19,52.76,1219.51
PRECTOTCORR_SUM,1984,8.5,-72.5,46.61,25.38,12.59,69.8,44.12,84.68,89.2,56.08,59.43,134.11,112.13,52.88,787.01
PRECTOTCORR_SUM,1984,8.5,-73.125,36.74,34.81,21.87,66.47,48.15,83.12,72.51,43.25,69.45,116.32,90.14,30.5,713.33
PRECTOTCORR_SUM,1984,8.5,-73.75,24.83,62.23,44.71,89.99,86.3,145.17,115.13,82.02,152.95,148.3,108.09,15.95,1075.67
PRECTOTCORR_SUM,1984,8.5,-74.375,22.0,77.39,57.1,116.6,112.31,190.53,160.57,120.07,214.99,180.68,146.25,19.43,1417.92
PRECTOTCORR_SUM,1984,8.5,-75.0,29.87,96.41,63.04,135.27,169.33,218.55,197.32,169.4,238.96,238.22,196.07,44.15,1796.59
PRECTOTCORR_SUM,1984,8.5,-75.625,98.67,168.35,93.34,173.09,321.91,236.89,218.86,229.79,212.42,384.81,321.07,95.6,2554.8
PRECTOTCORR_SUM,1984,8.5,-76.25,170.37,233.98,129.81,212.9,415.38,258.96,233.69,258.3,201.26,491.2,427.91,124.58,3158.34
PRECTOTCORR_SUM,1984,8.5,-76.875,172.94,226.73,126.25,202.59,411.07,263.13,236.15,253.59,205.19,483.0,434.5,128.04,3143.18
PRECTOTCORR_SUM,1984,9.0,-71.25,58.36,68.68,33.0,74.62,118.28,154.16,190.84,196.23,177.17,247.14,107.72,53.91,1480.11
PRECTOTCORR_SUM,1984,9.0,-71.875,51.54,51.64,22.64,61.76,60.55,75.49,115.54,82.35,109.68,205.01,104.41,54.6,995.21
PRECTOTCORR_SUM,1984,9.0,-72.5,43.91,31.2,18.28,59.92,40.68,55.32,94.02,51.05,73.18,159.74,95.07,45.55,767.92
PRECTOTCORR_SUM,1984,9.0,-73.125,30.25,21.65,16.58,51.46,43.51,56.5,76.16,40.52,78.93,126.59,68.61,23.57,634.33
PRECTOTCORR_SUM,1984,9.0,-73.75,17.1,27.59,26.65,53.12,63.58,92.77,83.68,61.26,118.6,125.33,55.06,8.96,733.7
PRECTOTCORR_SUM,1984,9.0,-74.375,12.62,37.75,36.82,66.68,79.06,126.12,109.21,86.97,158.52,144.59,69.89,8.36,936.59
PRECTOTCORR_SUM,1984,9.0,-75.0,13.67,47.6,40.89,71.26,104.76,152.83,129.79,118.67,168.41,177.86,98.64,21.08,1145.46
PRECTOTCORR_SUM,1984,9.0,-75.625,39.04,70.82,44.47,75.88,184.28,173.31,146.75,159.52,151.49,251.87,177.59,44.44,1519.46
PRECTOTCORR_SUM,1984,9.0,-76.25,60.34,83.0,46.95,73.82,220.51,190.96,154.87,179.57,143.42,292.57,234.98,46.62,1727.61
PRECTOTCORR_SUM,1984,9.0,-76.875,60.59,74.28,42.06,61.04,218.38,207.36,166.85,187.16,151.98,288.91,244.76,41.88,1745.25
PRECTOTCORR_SUM,1984,9.5,-71.25,48.7,49.29,28.47,51.06,80.28,80.87,162.42,162.95,138.0,225.85,69.05,43.56,1140.5
PRECTOTCORR_SUM,1984,9.5,-71.875,38.29,44.69,24.1,47.31,51.71,48.24,129.69,83.95,127.09,215.72,77.59,37.26,925.64
PRECTOTCORR_SUM,1984,9.5,-72.5,29.04,30.37,21.25,48.96,44.28,43.32,124.55,66.38,120.29,192.89,81.96,27.92,831.21
PRECTOTCORR_SUM,1984,9.5,-73.125,17.92,17.44,14.1,42.54,51.49,46.31,100.42,57.14,119.29,153.69,64.75,13.86,698.95
PRECTOTCORR_SUM,1984,9.5,-73.75,8.92,11.95,12.07,33.34,59.55,60.14,79.55,58.73,106.34,118.97,38.28,4.33,592.17
PRECTOTCORR_SUM,1984,9.5,-74.375,5.37,14.36,17.0,33.19,64.06,79.58,83.7,71.47,112.18,118.1,34.92,2.68,636.61
PRECTOTCORR_SUM,1984,9.5,-75.0,4.1,17.03,20.53,28.6,67.04,99.77,85.63,88.11,109.6,132.17,41.26,6.99,700.83
PRECTOTCORR_SUM,1984,9.5,-75.625,14.18,22.37,16.92,22.37,96.79,131.92,103.43,115.33,113.79,169.61,80.55,12.35,899.61
